date,unique_users,tweet_count,freq,freq_hate,freq_upd,freq_upd_hate,freq_rt,freq_rt_hate,norm,norm_hate,norm_upd,norm_upd_hate,norm_rt,norm_rt_hate,election,date_num,slope_change,date_num2,slope_change2
2017-02-09,64734,441623,165,0,145,0,7,0,3.7362184487673875e-4,0,0.0022399357370160968,0,1.585062372204346e-5,0,1,606,94,367236,8836
2017-02-10,63705,428707,149,0,138,0,1,0,0.00034755672288999244,0,0.0021662349894042855,0,2.3325954556375334e-6,0,1,607,95,368449,9025
2017-02-11,58036,385215,108,0,96,0,4,0,2.803629142167361e-4,0,0.0016541457026673098,0,1.0383811637656893e-5,0,1,608,96,369664,9216
2017-02-12,56895,401854,136,1,123,1,3,0,3.384313705972816e-4,2.4884659602741292e-6,0.0021618771421038755,1.7576236927673785e-5,7.465397880822388e-6,0,1,609,97,370881,9409
2017-02-13,63797,491903,163,0,149,0,8,0,3.313661433250051e-4,0,0.002335533018793987,0,1.6263368997546263e-05,0,1,610,98,372100,9604
2017-02-14,66050,462098,166,2,147,2,5,0,3.592311587585317e-4,4.328086250102792e-6,0.0022255866767600303,3.028009084027252e-5,1.082021562525698e-5,0,1,611,99,373321,9801
2017-02-15,63582,429942,150,2,110,2,4,0,3.4888426811058234e-4,4.651790241474431e-6,0.0017300493850460823,3.145544336447422e-5,9.303580482948863e-6,0,1,612,100,374544,10000
2017-02-16,63388,447710,130,2,117,2,4,0,2.903665319068147e-4,4.467177413950995e-6,0.0018457752255947497,3.155171325802991e-5,8.93435482790199e-6,0,1,613,101,375769,10201
2017-02-17,63088,435136,169,0,138,0,5,0,3.883843212237094e-4,0,0.0021874207456251587,0,1.1490660391234005e-05,0,1,614,102,376996,10404
2017-02-18,57560,400834,120,0,111,0,4,0,2.9937580145396846e-4,0,0.0019284225156358582,0,9.979193381798949e-6,0,1,615,103,378225,10609
2017-02-19,56604,402616,155,1,142,1,3,0,3.849822163053629e-4,2.483756234228148e-6,0.0025086566320401387,1.7666596000282665e-5,7.451268702684444e-6,0,1,616,104,379456,10816
2017-02-20,61482,442268,155,0,144,0,5,0,3.504662331437047e-4,0,0.002342148921635601,0,1.1305362359474347e-5,0,1,617,105,380689,11025
2017-02-21,62739,451620,158,1,142,1,6,0,3.4985164518843277e-4,2.2142509189141313e-6,0.002263344968839159,1.5939049076332107e-5,1.3285505513484788e-5,0,1,618,106,381924,11236
2017-02-22,63567,471730,147,1,127,1,2,0,3.1161893456002377e-4,2.1198566976872365e-6,0.001997891987981185,1.5731432976229806e-5,4.239713395374473e-6,0,1,619,107,383161,11449
2017-02-23,63903,467044,137,3,116,3,7,0,2.933342468803796e-4,6.423377668913422e-6,0.0018152512401608688,4.694615276278109e-5,1.498788122746465e-5,0,1,620,108,384400,11664
2017-02-24,63452,465970,137,0,119,0,5,0,2.940103440135631e-4,0,0.0018754333984744374,0,1.0730304526042448e-5,0,1,621,109,385641,11881
2017-02-25,57745,424443,151,0,119,0,7,0,3.55760373006505e-4,0,0.0020607844835050654,0,1.6492202722155862e-5,0,1,622,110,386884,12100
2017-02-26,57092,427133,121,1,107,1,9,0,2.832841292993049e-4,2.341191151233925e-6,0.0018741680095284803,1.7515588874097946e-5,2.1070720361105324e-5,0,1,623,111,388129,12321
2017-02-27,63786,507325,154,0,128,0,7,0,3.035529492928596e-4,0,0.002006709936349669,0,1.3797861331493619e-5,0,1,624,112,389376,12544
2017-02-28,62563,465229,150,1,134,1,3,0,3.2242186106197165e-4,2.1494790737464776e-6,0.0021418410242475586,1.5983888240653422e-5,6.448437221239433e-6,0,1,625,113,390625,12769
2017-03-01,64694,491831,162,0,141,0,5,0,3.2938143386651103e-4,0,0.002179491142918972,0,1.016609363785528e-5,0,1,626,114,391876,12996
2017-03-02,63075,476116,111,0,100,0,9,0,2.3313646254274168e-4,0,0.0015854141894569957,0,1.890295642238446e-5,0,1,627,115,393129,13225
2017-03-03,62633,462403,136,1,128,1,5,0,2.941157388684762e-4,2.1626157269740895e-6,0.00204365111043699,1.5966024300288984e-5,1.0813078634870448e-5,0,1,628,116,394384,13456
2017-03-04,57697,437180,121,1,102,1,9,0,2.767738688869573e-4,2.287387346173201e-6,0.001767856214361232,1.7331923670208157e-5,2.058648611555881e-5,0,1,629,117,395641,13689
2017-03-05,56499,441481,84,0,75,0,5,0,1.9026866388360995e-4,0,0.0013274571231349228,0,1.1325515707357734e-5,0,1,630,118,396900,13924
2017-03-06,61596,475984,160,0,131,0,6,0,3.361457527984134e-4,0,0.002126761478018053,0,1.2605465729940503e-5,0,1,631,119,398161,14161
2017-03-07,63191,499933,128,1,113,1,4,0,2.56034308597352e-4,2.0002680359168127e-6,0.0017882293364561408,1.582503837571806e-5,8.00107214366725e-6,0,1,632,120,399424,14400
2017-03-08,66071,520955,135,2,113,2,2,0,2.591394650209711e-4,3.8391031854958686e-6,0.001710281363987226,3.0270466619242936e-5,3.8391031854958686e-6,0,1,633,121,400689,14641
2017-03-09,63368,492592,197,1,166,1,6,0,3.9992529314320977e-4,2.0300776301685776e-6,0.002619618735008206,1.578083575306148e-5,1.2180465781011466e-5,0,1,634,122,401956,14884
2017-03-10,60913,453456,232,0,191,0,4,0,5.116262658339508e-4,0,0.0031356196542609953,0,8.821142514378463e-6,0,1,635,123,403225,15129
2017-03-11,54232,362207,100,1,82,1,3,0,2.7608522198632274e-4,2.7608522198632275e-6,0.0015120224221861632,1.8439297831538577e-5,8.282556659589683e-6,0,1,636,124,404496,15376
2017-03-12,51956,312121,109,0,103,0,4,0,3.49223538307259e-4,0,0.0019824466856570946,0,1.2815542690174644e-5,0,1,637,125,405769,15625
2017-03-13,54864,287908,87,0,84,0,4,0,3.0217986301179546e-4,0,0.0015310586176727908,0,1.3893327035025077e-5,0,1,638,126,407044,15876
2017-03-14,56374,291959,99,0,92,0,2,0,3.390887076610072e-4,0,0.0016319579948203071,0,6.85027692244459e-6,0,1,639,127,408321,16129
2017-03-15,56421,290283,70,1,70,1,5,0,2.411439870746823e-4,3.44491410106689e-6,0.0012406727991350738,1.7723897130501055e-5,1.7224570505334448e-5,0,1,640,128,409600,16384
2017-03-16,56397,290197,90,0,82,0,4,0,3.10134150249658e-4,0,0.001453978048477756,0,1.378374001109591e-5,0,1,641,129,410881,16641
2017-03-17,56523,279214,78,1,69,1,1,0,2.7935561970388306e-4,3.5814823038959366e-6,0.0012207419988323337,1.7691913026555562e-5,3.5814823038959366e-6,0,1,642,130,412164,16900
2017-03-18,51292,259169,84,0,74,0,3,0,3.2411283756930806e-4,0,0.0014427201122982141,0,1.1575458484618145e-5,0,1,643,131,413449,17161
2017-03-19,51055,262745,108,1,96,1,2,0,4.1104492949437665e-4,3.8059715693923767e-6,0.0018803251395553815,1.958672020370189e-5,7.6119431387847535e-6,0,1,644,132,414736,17424
