,cat_rat,ccpr_rat,polrt,cvrt,hrai,hrsd,country,year,idcode,PIRI,Dis,Kill,Pris,Tort,Polity2,Civilwar2,War,gdppc,pop,Media_ai_rn,Media_ai_br,Media_ai_tot,Media_ec,Media_nw,Media_tot,Media_ave,INGO_uia,UNShame,intensity,yearLag1,PIRILag1,PIRILag2,PIRILead1,polrtLag1,polrtLag2,polrtLead1,democratic,Media_ai_tot_ph,logAI,AIShame,log_gdppc,log_pop
1912,1,1,3,4,4,4,RUSSIA,1996,365,5,1,2,1,1,4,1,0,1564.11499,1.48E+08,11,13,24,3,1,4,2,1300,0,2,1995,7,3,5,3,3,3,0,24,3.161213081,1,7.355075442,18.81272283
1913,1,1,3,4,3,4,RUSSIA,1997,365,5,0,2,1,2,4,0,0,1590.697021,1.47E+08,6,17,23,1,3,4,2,1462,0,2,1996,5,7,5,3,3,4,0,23,3.118653467,1,7.371927577,18.80594314
1914,1,1,4,4,4,5,RUSSIA,1998,365,5,0,2,1,2,4,0,0,1510.542969,1.47E+08,12,8,20,2,1,3,1.5,1582,0,2,1997,5,5,5,3,3,4,0,20,2.978891524,1,7.320224447,18.80594314
1915,1,1,4,5,4,4,RUSSIA,1999,365,5,0,2,1,2,4,0,0,1613.698975,1.46E+08,14,10,24,4,1,5,2.5,1673,1,3,1998,5,5,6,4,3,5,0,24,3.161213081,1,7.386284323,18.79911718
1916,1,1,5,5,5,3,RUSSIA,2000,365,6,1,2,1,2,7,0,0,1784.264038,1.46E+08,26,13,39,9,8,17,8.5,NA,1,3,1999,5,5,7,4,4,5,1,39,3.646720897,1,7.486761306,18.79911718
1939,1,1,1,2,1,2,ESTONIA,1996,366,1,0,0,0,1,6,0,0,3078.452881,1416000,0,3,3,1,0,1,0.5,614,1,3,1995,1,1,1,2,3,1,1,3,1.08177154,0,8.032182438,14.16334655
1940,1,1,1,2,2,2,ESTONIA,1997,366,1,0,0,0,1,6,0,0,3441.295898,1400000,0,3,3,0,0,0,0,720,0,1,1996,1,1,1,1,2,1,1,3,1.08177154,0,8.143603394,14.15198279
1941,1,1,1,2,1,1,ESTONIA,1998,366,1,0,0,0,1,6,0,0,3656.509033,1386200,0,3,3,0,0,0,0,798,0,1,1997,1,1,1,1,1,1,1,3,1.08177154,0,8.204264155,14.14207675
1942,1,1,1,2,1,1,ESTONIA,1999,366,1,0,0,0,1,6,0,0,3681.587891,1375700,0,1,1,0,0,0,0,856,0,1,1998,1,1,0,1,1,1,1,1,-0.016840749,0,8.21109943,14.13447325
1943,1,1,1,2,1,1,ESTONIA,2000,366,0,0,0,0,0,6,0,0,3986.893066,1369500,0,0,0,0,0,0,0,NA,0,0,1999,1,1,1,1,1,1,1,0.01,-4.622010935,0,8.290767526,14.12995627
1966,1,1,2,2,2,1,LATVIA,1996,367,1,0,0,0,1,8,0,0,2479.335938,2491000,0,1,1,0,0,0,0,489,1,2,1995,3,3,1,2,3,1,1,1,-0.016840749,0,7.815746036,14.72819479
1967,1,1,1,2,2,2,LATVIA,1997,367,1,0,0,0,1,8,0,0,2729.614014,2450000,0,4,4,0,0,0,0,587,0,1,1996,1,3,2,2,2,1,1,4,1.369453612,0,7.911915491,14.71159858
1968,1,1,1,2,2,2,LATVIA,1998,367,2,0,0,0,2,8,0,0,2906.019043,2410000,0,2,2,0,0,0,0,662,0,1,1997,1,1,1,1,2,1,1,2,0.676306431,0,7.974539397,14.69513731
1969,1,1,1,2,1,2,LATVIA,1999,367,1,0,0,0,1,8,0,0,3026.662109,2390000,0,2,2,0,0,0,0,715,1,2,1998,2,1,1,1,1,1,1,2,0.676306431,0,8.015215677,14.68680392
1970,1,1,1,2,1,1,LATVIA,2000,367,1,0,0,0,1,8,0,0,3259.775879,2372000,0,3,3,0,0,0,0,NA,0,1,1999,1,2,2,1,1,1,1,3,1.08177154,0,8.089413723,14.67924404
1993,1,1,1,2,1,2,LITHUANIA,1996,368,1,0,0,0,1,10,0,0,2692.149902,3605000,0,3,3,0,0,0,0,581,1,2,1995,0,0,1,1,1,1,1,3,1.08177154,0,7.898095374,15.09783233
1994,1,1,1,2,1,1,LITHUANIA,1997,368,1,0,0,0,1,10,0,0,2900.928955,3580000,0,3,3,0,0,0,0,668,0,1,1996,1,0,1,1,1,1,1,3,1.08177154,0,7.972786294,15.09087336
1995,1,1,1,2,1,1,LITHUANIA,1998,368,1,0,0,0,1,10,0,0,3133.97998,3555000,0,1,1,0,0,0,0,747,0,1,1997,1,1,1,1,1,1,1,1,-0.016840749,0,8.050059035,15.08386562
1996,1,1,1,2,1,1,LITHUANIA,1999,368,1,0,0,0,1,10,0,0,3101.7771,3531000,0,5,5,0,0,0,0,793,0,1,1998,1,1,1,1,1,1,1,5,1.592597163,0,8.039730484,15.07709167
1997,1,1,1,2,1,1,LITHUANIA,2000,368,1,0,0,0,1,10,0,0,3247.210938,3505000,0,0,0,0,0,0,0,NA,0,0,1999,1,1,2,1,1,1,1,0.01,-4.622010935,0,8.085551734,15.06970108
2020,1,1,3,4,2,2,UKRAINE,1996,369,2,0,0,0,2,7,0,0,608.3383789,51100000,1,6,7,0,0,0,0,535,0,1,1995,4,4,3,3,3,3,1,7,1.9290694,1,6.410731271,17.74929506
2021,1,1,3,4,2,2,UKRAINE,1997,369,3,1,1,0,1,7,0,0,595.0139771,50700000,3,6,9,0,0,0,0,650,0,1,1996,2,4,2,3,3,3,1,9,2.180383828,1,6.388584896,17.74143647
2022,1,1,3,4,2,4,UKRAINE,1998,369,2,0,0,0,2,7,0,0,588.0167847,50300000,2,5,7,0,0,0,0,741,0,1,1997,3,2,2,3,3,3,1,7,1.9290694,1,6.376755493,17.73351564
2023,1,1,3,4,3,3,UKRAINE,1999,369,2,0,0,0,2,7,0,0,591.5092163,49900000,1,6,7,0,0,0,0,801,0,1,1998,2,3,4,3,3,4,1,7,1.9290694,1,6.382677265,17.72553156
2024,1,1,4,4,2,3,UKRAINE,2000,369,4,1,0,1,2,7,0,0,631.5333252,49500000,1,4,5,1,0,1,0.5,NA,0,2,1999,2,2,2,3,3,4,1,5,1.592597163,1,6.448150712,17.71748323
2047,1,1,6,6,2,2,BELARUS,1996,370,4,0,0,2,2,-7,0,0,948.9598999,10200000,0,2,2,0,0,0,0,291,0,1,1995,3,1,3,5,4,6,0,2,0.676306431,0,6.855366543,16.13789828
2048,1,1,6,6,3,3,BELARUS,1997,370,3,0,0,1,2,-7,0,0,1061.63501,10100000,3,6,9,0,0,0,0,337,0,1,1996,4,3,4,6,5,6,0,9,2.180383828,1,6.967565461,16.12804598
2049,1,1,6,6,2,3,BELARUS,1998,370,4,0,0,2,2,-7,0,0,1156.297974,10100000,0,3,3,0,0,0,0,387,0,1,1997,3,4,3,6,6,6,0,3,1.08177154,0,7.052978779,16.12804598
2050,1,1,6,6,2,3,BELARUS,1999,370,3,0,0,1,2,-7,0,0,1199.662964,1.00E+07,9,8,17,1,0,1,0.5,439,0,2,1998,4,3,4,6,6,6,0,17,2.816372595,1,7.089795933,16.11809565
2051,1,1,6,6,3,3,BELARUS,2000,370,4,1,0,2,1,-7,0,0,1273.04895,1.00E+07,12,7,19,2,0,2,1,NA,0,2,1999,3,4,3,6,6,6,0,19,2.92759823,1,7.14917005,16.11809565
2074,1,1,5,4,2,2,ARMENIA,1996,371,3,0,0,2,1,-6,0,0,480.933197,3273000,2,3,5,0,0,0,0,174,0,1,1995,3,1,3,4,3,5,0,5,1.592597163,1,6.175728377,15.00121755
2075,1,1,5,4,2,3,ARMENIA,1997,371,3,0,0,1,2,-6,0,0,504.3010864,3225000,0,6,6,0,0,0,0,202,0,1,1996,3,3,4,5,4,4,0,6,1.77491872,0,6.223173483,14.98644351
2076,1,1,4,4,2,3,ARMENIA,1998,371,4,0,1,1,2,5,0,0,548.8060913,3181000,1,5,6,0,0,0,0,234,0,1,1997,3,3,2,5,5,4,0,6,1.77491872,1,6.307745176,14.97270617
2077,1,1,4,4,2,3,ARMENIA,1999,371,2,0,0,0,2,5,0,0,573.5883789,3144000,0,4,4,0,0,0,0,253,0,1,1998,4,3,4,4,5,4,0,4,1.369453612,0,6.351912029,14.96100643
2078,1,1,4,4,2,2,ARMENIA,2000,371,4,0,1,1,2,5,0,0,614.2556763,3112000,1,4,5,0,0,0,0,NA,0,1,1999,2,4,2,4,4,4,0,5,1.592597163,1,6.420411252,14.95077616
2101,1,1,4,4,2,3,GEORGIA,1996,372,6,2,1,1,2,5,0,0,477.9513855,5334000,1,4,5,0,0,0,0,237,0,1,1995,5,6,7,4,5,3,0,5,1.592597163,1,6.169509023,15.48961198
2102,1,1,3,4,2,3,GEORGIA,1997,372,7,2,2,1,2,5,0,0,529.6173706,5320000,1,5,6,0,0,0,0,265,0,1,1996,6,5,7,4,4,3,0,6,1.77491872,1,6.272154804,15.48698386
2103,1,1,3,4,4,3,GEORGIA,1998,372,7,1,2,2,2,5,0,0,547.3991089,5307000,0,6,6,0,0,0,0,301,0,1,1997,7,6,6,3,4,3,0,6,1.77491872,0,6.305178169,15.48453726
2104,1,1,3,4,2,3,GEORGIA,1999,372,6,1,2,1,2,5,0,0,565.0853271,5289000,0,4,4,0,0,0,0,344,0,1,1998,7,7,3,3,3,4,0,4,1.369453612,0,6.336976741,15.48113975
2105,1,1,4,4,3,2,GEORGIA,2000,372,3,1,0,1,1,5,0,0,578.3853149,5262000,0,4,4,0,0,0,0,NA,0,1,1999,6,7,4,3,3,4,0,4,1.369453612,0,6.360240281,15.47602174
2155,1,1,1,1,1,1,FINLAND,1996,375,0,0,0,0,0,10,0,0,19298.81055,5125000,0,0,0,0,0,0,0,2439,0,0,1995,0,0,0,1,1,1,1,0.01,-4.622010935,0,9.867798743,15.44964108
2156,1,1,1,1,1,1,FINLAND,1997,375,0,0,0,0,0,10,0,0,20446.40039,5139840,0,0,0,0,0,0,0,2519,0,0,1996,0,0,0,1,1,1,1,0.01,-4.622010935,0,9.925562126,15.45253251
2157,1,1,1,1,1,1,FINLAND,1998,375,0,0,0,0,0,10,0,0,21413.83984,5153000,0,0,0,0,0,0,0,2590,0,0,1997,0,0,0,1,1,1,1,0.01,-4.622010935,0,9.971792714,15.45508963
2158,1,1,1,1,1,1,FINLAND,1999,375,0,0,0,0,0,10,0,0,22084.36914,5165000,1,1,2,0,0,0,0,2632,0,1,1998,0,0,0,1,1,1,1,2,0.676306431,1,10.00262536,15.45741566
2159,1,1,1,1,1,1,FINLAND,2000,375,0,0,0,0,0,10,0,0,23183.50977,5172000,0,3,3,0,0,0,0,NA,0,1,1999,0,0,0,1,1,1,1,3,1.08177154,0,10.05119652,15.45877002
2182,1,1,1,1,1,1,SWEDEN,1996,380,0,0,0,0,0,10,0,0,23387.32031,8843000,0,0,0,0,0,0,0,2733,0,0,1995,0,0,2,1,1,1,1,0.01,-4.622010935,0,10.05994929,15.99513674
2183,1,1,1,1,1,1,SWEDEN,1997,380,2,0,1,0,1,10,0,0,23940,8849440,1,4,5,0,0,0,0,2815,0,1,1996,0,0,0,1,1,1,1,5,1.592597163,1,10.08330598,15.99586474
2184,1,1,1,1,1,1,SWEDEN,1998,380,0,0,0,0,0,10,0,0,24806.10938,8851800,0,2,2,0,0,0,0,2886,0,1,1997,2,0,0,1,1,1,1,2,0.676306431,0,10.11884525,15.99613139
2185,1,1,1,1,1,1,SWEDEN,1999,380,0,0,0,0,0,10,0,0,25925.41992,8857400,0,2,2,0,0,0,0,2944,0,1,1998,0,2,1,1,1,1,1,2,0.676306431,0,10.16297923,15.99676383
2186,1,1,1,1,1,1,SWEDEN,2000,380,1,0,0,0,1,10,0,0,27011.80078,8869000,1,2,3,0,0,0,0,NA,0,1,1999,0,0,0,1,1,1,1,3,1.08177154,1,10.20402912,15.99807261
2209,1,1,1,1,1,1,NORWAY,1996,385,0,0,0,0,0,10,0,0,35550.98047,4381000,0,0,0,0,0,0,0,2380,0,0,1995,0,0,0,1,1,1,1,0.01,-4.622010935,0,10.47872301,15.29278757
2210,1,1,1,1,1,1,NORWAY,1997,385,0,0,0,0,0,10,0,0,37199.46875,4404100,0,3,3,0,0,0,0,2446,0,1,1996,0,0,0,1,1,1,1,3,1.08177154,0,10.52404976,15.29804648
2211,1,1,1,1,1,1,NORWAY,1998,385,0,0,0,0,0,10,0,0,37937.28125,4432000,0,1,1,0,0,0,0,2506,0,1,1997,0,0,0,1,1,1,1,1,-0.016840749,0,10.54368958,15.30436151
2212,1,1,1,1,1,1,NORWAY,1999,385,0,0,0,0,0,10,0,0,38503.35938,4460000,0,1,1,0,0,0,0,2560,0,1,1998,0,0,0,1,1,1,1,1,-0.016840749,0,10.55850077,15.31065932
2213,1,1,1,1,1,1,NORWAY,2000,385,0,0,0,0,0,10,0,0,39322.41016,4491000,0,0,0,0,0,0,0,NA,0,0,1999,0,0,0,1,1,1,1,0.01,-4.622010935,0,10.57954987,15.31758595
