gpr_mean,true_y,gpr_lwr,gpr_upr,day
1.5820188098939592e-06,3.001722988995684e-06,1.0195428575893675e-06,2.1444947621985507e-06,541
1.5790826346557068e-06,0.0,1.0170618739488798e-06,2.141103395362534e-06,542
1.5766808140198957e-06,0.0,1.0149249932064077e-06,2.1384366348333837e-06,543
1.5747965416695306e-06,0.0,1.013171171972861e-06,2.1364219113662003e-06,544
1.5734120584718689e-06,0.0,1.0118313423388053e-06,2.1349927746049324e-06,545
1.5725087007526783e-06,0.0,1.0109287930985162e-06,2.1340886084068407e-06,546
1.5720669508752873e-06,0.0,1.0104796127215758e-06,2.1336542890289987e-06,547
1.5720664900152332e-06,0.0,1.0104931728561922e-06,2.133639807174274e-06,548
1.5724862529877364e-06,0.0,1.0109726351954163e-06,2.1339998707800568e-06,549
1.5733044850081844e-06,3.4105016165777664e-06,1.0119154682728033e-06,2.1346935017435654e-06,550
1.5744988002357951e-06,0.0,1.0133139639603692e-06,2.1356836365112213e-06,551
1.576046241957665e-06,0.0,1.0151557461500276e-06,2.136936737765302e-06,552
1.5779233442641118e-06,0.0,1.0174242662968367e-06,2.138422422231387e-06,553
1.580106195054783e-06,0.0,1.0200992822082383e-06,2.1401131079013276e-06,554
1.5825705002185635e-06,3.1469598794084973e-06,1.0231573177944126e-06,2.1419836826427145e-06,555
1.5852916488199028e-06,3.2855612724321694e-06,1.026572102455913e-06,2.1440111951838923e-06,556
1.5882447791257147e-06,0.0,1.0303149894801815e-06,2.1461745687712484e-06,557
1.591404845297698e-06,1.0203665156524224e-05,1.0343553532812693e-06,2.148454337314127e-06,558
1.594746684580179e-06,3.0787987758696068e-06,1.038660965616415e-06,2.150832403543943e-06,559
1.5982450847992964e-06,9.0511116273597e-06,1.0431983510716866e-06,2.153291818526906e-06,560
1.601874852007039e-06,0.0,1.047933122184095e-06,2.1558165818299827e-06,561
1.6056108780767353e-06,0.0,1.0528302945591888e-06,2.158391461594282e-06,562
1.609428208079653e-06,2.760166382829557e-06,1.0578545823191022e-06,2.1610018338402037e-06,563
1.6133021072558277e-06,0.0,1.0629706741387323e-06,2.163633540372923e-06,564
1.6172081274041866e-06,0.0,1.0681434900740927e-06,2.1662727647342804e-06,565
1.621122172503738e-06,0.0,1.0733384192997233e-06,2.1689059257077522e-06,566
1.6250205633990542e-06,2.8258486023352815e-06,1.078521538849235e-06,2.1715195879488733e-06,567
1.6288801013600918e-06,0.0,1.083659813385067e-06,2.1741003893351164e-06,568
1.6326781303525177e-06,2.621280075912271e-06,1.0887212760453255e-06,2.17663498465971e-06,569
1.6363925978420393e-06,5.927489026735939e-06,1.093675190414904e-06,2.1791100052691746e-06,570
1.640002113964733e-06,2.85143997718848e-06,1.0984921937113267e-06,2.1815120342181394e-06,571
1.643486008899961e-06,2.5489006591457107e-06,1.1031444213621385e-06,2.1838275964377834e-06,572
1.6468243882836432e-06,0.0,1.1076056132182886e-06,2.1860431633489974e-06,573
1.649998186511412e-06,4.963715241584021e-06,1.11185120178481e-06,2.1881451712380145e-06,574
1.6529892177744279e-06,5.2857475104129225e-06,1.115858382958581e-06,2.1901200525902747e-06,575
1.6557802246898206e-06,0.0,1.119606169903978e-06,2.1919542794756634e-06,576
1.6583549243828572e-06,0.0,1.1230754308406719e-06,2.1936344179250424e-06,577
1.6606980518922694e-06,0.0,1.1262489116425564e-06,2.1951471921419827e-06,578
